Id,Label,indegree,outdegree,Degree,pageranks,modularity_class
en.wikipedia.org/w/index.php?title=Sarsaiya_Ghat&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kanpur_Development_Authority,,69,245,314,8e-06,31
en.wikipedia.org/wiki/Kanpur_City_Police,,69,199,268,8e-06,31
en.wikipedia.org/wiki/Phool_Bagh,,68,259,327,8e-06,31
en.wikipedia.org/wiki/Nana_Rao_Park,,68,228,296,8e-06,31
en.wikipedia.org/wiki/British_India_Corporation,,91,224,315,8e-06,31
en.wikipedia.org/wiki/Inext,,69,85,154,8e-06,31
en.wikipedia.org/wiki/Lohia_Machinery_Limited,,70,366,436,8e-06,31
en.wikipedia.org/wiki/Panki_Thermal_Power_Station,,92,369,461,8e-06,31
en.wikipedia.org/wiki/Category:Education_in_Kanpur,,70,64,134,8e-06,31
en.wikipedia.org/wiki/Chhatrapati_Shahu_Ji_Maharaj_University,,97,519,616,8e-06,31
en.wikipedia.org/wiki/Chandra_Shekhar_Azad_University_of_Agriculture_%26_Technology,,68,433,501,8e-06,31
en.wikipedia.org/wiki/Ganesh_Shankar_Vidyarthi_Memorial_Medical_College,,93,368,461,8e-06,31
en.wikipedia.org/wiki/Indian_Institute_of_Technology_Kanpur,,114,760,874,8e-06,31
en.wikipedia.org/wiki/P_K_Kelkar_library,,68,760,828,8e-06,31
"en.wikipedia.org/wiki/Odyssey_(HBTI,_Kanpur)",,68,1078,1146,8e-06,31
en.wikipedia.org/wiki/Govt._Central_Textile_Institute,,68,360,428,8e-06,31
"en.wikipedia.org/wiki/University_Institute_of_Engineering_and_Technology,_Kanpur_University",,69,519,588,8e-06,31
en.wikipedia.org/w/index.php?title=Government_Leather_Institute_Kanpur&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Pranveer_Singh_Institute_of_Technology,,70,393,463,8e-06,31
en.wikipedia.org/wiki/Krishna_Institute_of_Technology,,70,393,463,8e-06,31
en.wikipedia.org/wiki/Kanpur_Institute_of_Technology,,69,393,462,8e-06,31
en.wikipedia.org/wiki/List_of_engineering_colleges_in_Kanpur,,70,89,159,8e-06,31
en.wikipedia.org/wiki/Civil_Lines,,70,76,146,8e-06,31
"en.wikipedia.org/w/index.php?title=Tilak_Nagar,_Kanpur&action=edit&redlink=1",,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Arya_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Swaroop_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Chunni_Ganj&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Azad_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Nawab_Ganj&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/wiki/Kakadeo,,69,218,287,8e-06,31
en.wikipedia.org/w/index.php?title=Geeta_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Pandu_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Sarvodya_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Sharda_Nagar&action=edit&redlink=1,,68,0,68,8e-06,31
en.wikipedia.org/w/index.php?title=Shastri_Nagar_(Kanpur)&action=edit&redlink=1,,68,0,68,8e-06,31
